/root/.openclaw/workspace/skills/hermes-guardian/health_check.sh: line 72: STARTS_SINCE: unbound variable
/root/.openclaw/workspace/skills/hermes-guardian/health_check.sh: line 95: local: can only be used in a function
/root/.openclaw/workspace/skills/hermes-guardian/health_check.sh: line 96: msg: unbound variable
/root/.openclaw/workspace/skills/hermes-guardian/health_check.sh: line 37: [: 0
0: integer expression expected
/root/.openclaw/workspace/skills/hermes-guardian/health_check.sh: line 41: [: 0
0: integer expression expected
11:27:01 — OK — 正常 | PID 2340258 | Feishu=none
/root/.openclaw/workspace/skills/hermes-guardian/health_check.sh: line 37: [: 0
0: integer expression expected
/root/.openclaw/workspace/skills/hermes-guardian/health_check.sh: line 41: [: 0
0: integer expression expected
11:30:01 — OK — 正常 | PID 2340258 | Feishu=none
11:33:01 — OK — 正常 | PID 2343587 | Feishu=none
11:36:02 — OK — 正常 | PID 2344580 | Feishu=none
11:39:01 — OK — 正常 | PID 2344580 | Feishu=none
11:42:01 — OK — 正常 | PID 2344580 | Feishu=none
11:45:01 — OK — 正常 | PID 2344580 | Feishu=none
11:48:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
11:51:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
11:54:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
11:57:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
12:00:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
12:03:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
12:06:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
12:09:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
12:12:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
12:15:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
12:18:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
12:21:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
12:24:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
12:27:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
12:30:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
12:33:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
12:36:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
12:39:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
12:42:01 — OK — 正常 | PID 2347901 | Feishu=Lark 2026-05-06 11:45:38
12:45:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
12:48:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
12:51:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
12:54:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
12:57:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:00:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:03:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:06:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:09:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:12:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:15:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:18:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:21:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:24:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:27:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:30:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:33:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:36:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:39:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:42:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:45:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:48:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:51:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:54:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
13:57:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:00:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:03:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:06:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:09:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:12:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:15:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:18:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:21:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:24:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:27:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:30:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:33:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:36:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:39:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:42:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:45:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:48:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:51:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:54:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
14:57:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:00:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:03:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:06:02 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:09:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:12:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:15:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:18:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:21:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:24:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:27:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:30:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
15:33:01 — OK — 正常 | PID 2362153 | Feishu=Lark 2026-05-06 12:42:37
